"Video","BeforeMB","AfterMB","SavedPercent","Poster"
"media/arch_projects/16-9V/1.mp4","6.94","0.94","86.5","media/posters/arch_projects/16-9V/1.jpg"
"media/arch_projects/9-16H/1.mp4","96.84","22.82","76.4","media/posters/arch_projects/9-16H/1.jpg"
"media/arch_projects/9-16H/2.mp4","49.63","10.60","78.6","media/posters/arch_projects/9-16H/2.jpg"
"media/arch_projects/9-16H/3.mp4","213.66","34.17","84.0","media/posters/arch_projects/9-16H/3.jpg"
"media/arch_projects/9-16H/4.mp4","40.41","12.54","69.0","media/posters/arch_projects/9-16H/4.jpg"
"media/film/1.mp4","541.64","53.09","90.2","media/posters/film/1.jpg"
"media/intro/1.mp4","9.63","5.48","43.1","media/posters/intro/1.jpg"
"media/intro/hero.mp4","30.03","14.05","53.2","media/posters/intro/hero.jpg"
"media/media_projects/Media (1).mp4","90.02","11.74","87.0","media/posters/media_projects/Media (1).jpg"
"media/media_projects/Media (10).mp4","55.74","15.64","71.9","media/posters/media_projects/Media (10).jpg"
"media/media_projects/Media (11).mp4","58.59","8.68","85.2","media/posters/media_projects/Media (11).jpg"
"media/media_projects/Media (12).mp4","59.80","7.00","88.3","media/posters/media_projects/Media (12).jpg"
"media/media_projects/Media (2).mp4","57.87","7.45","87.1","media/posters/media_projects/Media (2).jpg"
"media/media_projects/Media (3).mp4","60.11","7.42","87.7","media/posters/media_projects/Media (3).jpg"
"media/media_projects/Media (4).mp4","65.50","8.76","86.6","media/posters/media_projects/Media (4).jpg"
"media/media_projects/Media (5).mp4","46.60","8.97","80.7","media/posters/media_projects/Media (5).jpg"
"media/media_projects/Media (6).mp4","57.87","7.45","87.1","media/posters/media_projects/Media (6).jpg"
"media/media_projects/Media (7).mp4","21.44","3.05","85.8","media/posters/media_projects/Media (7).jpg"
"media/media_projects/Media (8).mp4","28.19","4.35","84.6","media/posters/media_projects/Media (8).jpg"
"media/media_projects/Media (9).mp4","60.02","7.45","87.6","media/posters/media_projects/Media (9).jpg"
"media/prop/1.mp4","47.62","3.95","91.7","media/posters/prop/1.jpg"
"media/prop/2.mp4","30.36","2.39","92.1","media/posters/prop/2.jpg"
"media/prop/3.mp4","27.86","2.96","89.4","media/posters/prop/3.jpg"
"media/website_project/1.mp4","174.49","19.62","88.8","media/posters/website_project/1.jpg"
"media/website_project/2.mp4","92.76","5.79","93.8","media/posters/website_project/2.jpg"
"media/website_project/26.mp4","81.35","19.42","76.1","media/posters/website_project/26.jpg"
